PQ,K,Quantization_time,Total_time
1, 100,  10.734131, 619.710205
1, 100,  37.290039, 640.717041
1, 100,  32.366943, 637.957031
1, 100,  10.349854, 651.561035
1, 100,  37.792969, 652.247803
1, 100,  29.711914, 656.713867
1, 100,  11.861084, 641.486084
1, 100,  36.882080, 665.083984
1, 100,  7.874023, 36.315918
1, 100,  7.779053, 41.947998
1, 100,  7.836914, 42.128906
1, 100,  7.827148, 42.324219
1, 100,  7.878906, 42.408936
1, 100,  7.838867, 42.596924
1, 100,  7.836182, 42.650146
1, 100,  7.941895, 43.283936
1, 100,  11.657959, 51.802002
1, 100,  11.854004, 52.296875
1, 100,  12.895996, 52.950928
1, 100,  13.033936, 53.512939
1, 100,  13.209961, 54.081055
1, 100,  13.386963, 54.134033
1, 100,  12.817139, 54.452148
1, 100,  12.858154, 54.491943
1, 100,  12.894043, 54.275879
1, 100,  13.037109, 54.975098
1, 100,  13.489014, 54.891846
1, 100,  13.540039, 55.044922
1, 100,  13.857910, 55.317871
1, 100,  13.771973, 56.103027
1, 100,  13.369141, 56.770996
1, 100,  12.769043, 57.066162
1, 100,  12.829102, 57.340088
1, 100,  12.887207, 57.123047
